Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,Glisten & Glow,Tropic like it's HOT!,Pink,"Neon, Creme",https://www.glistenandglow.com/product/glisten-glow-tropic-like-it-s-hot,2,A,easy creme application 
,Hit the Bottle,Snowed In,White,"Stamping, Creme",https://hitthebottlepolishes.com.au/collections/nail-polish-stamping-polish/products/snowed-in-stamping-polish,,,
,Hits,Hefesto,Silver,Linear Holo,https://belasgarras.blogspot.com/2012/01/hefesto-hits.html,,,
,Hits,So Unique - Mari Moon,Purple,"Duochrome, Scattered Holo",https://curbappealnails.blogspot.com/2015/07/hits-mari-moon-so-unique-bps-zebra-nail-vinyls.html,,,
,Holo Taco,Cosmic Unicorn Skin,Multi,"Iridescent Flakie, Topper",https://www.holotaco.com/products/cosmic-unicorn-skin,,,
,Holo Taco,Everything Taco,Multi,"Iridescent Flakie, Topper, Scattered Holo, Linear Holo, Flakie Holo",https://www.holotaco.com/products/everything-taco,1,B,I didn't like it that much over a dusty purple but I should try it again over another color
,Holo Taco,Flakie Holo Taco,Multi,"Flakie Holo, Topper",https://www.holotaco.com/products/flakie-holo-taco,,,
,Holo Taco,Magenta Jelly,Pink,"Linear Holo, Jelly",https://www.holotaco.com/products/magenta-jelly,2,A-,a little hard to apply with the thin brush and it dries quick but the end result is 💯
,Holo Taco,Menchie The Cat,Pink,Holo Glitter,https://www.holotaco.com/products/menchie-the-cat,,,
,Holo Taco,Midnight Spark,Purple,"Holo Glitter, Jelly",https://www.holotaco.com/products/midnight-spark,,,
,Holo Taco,Play Rosé,Gold,"Jelly, Holo Glitter",https://www.holotaco.com/products/play-rose,2,A,Needed tons of top coat and glitter grabber to get smooth but even though it was thick it stayed on SO GOOD
,Holo Taco,Plumb Luck,Purple,"Jelly, Holo Glitter",https://www.holotaco.com/products/plumb-luck,,,
,Holo Taco,Reflective Taco,Clear,"Reflective Glitter, Topper",https://www.holotaco.com/products/reflective-taco,,,
,Holo Taco,Scattered Holo Taco,Silver,"Scattered Holo, Topper",https://www.holotaco.com/products/scattered-holo-taco,1,A,"nice spread of holo, gentle, doesn't cover color"
,Holo Taco,Super Glossy Taco,Clear,Top Coat,https://www.holotaco.com/products/super-glossy-taco,,,
,Holo Taco,Work Bestie,Purple,Creme,https://www.holotaco.com/products/work-bestie,,,
,ILNP,Black Orchid,Purple,Holo,https://www.ilnp.com/holographics-and-ultra-holos/black-orchid/,,,
,ILNP,Brownstone,Brown,Holo,https://www.ilnp.com/nail-polish/brownstone/,,,
,ILNP,Dash of Cocoa,Brown,Holo,https://www.ilnp.com/nail-polish/dash-of-cocoa/,3,B+,Color is ok but holo is beautiful
